pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2021000826,1,1,2,6200,201,,56,,,,,,20,2022,1,51,4,1,2,3,3,0,3,1,1,2,3,1,1,1,9,9,9,0,0,9,5,51,513,0,14,1,176369,659329
2021005117,1,1,4,0,,,,,98,0,898,,12,2022,1,83,4,5,4,3,9,3,0,0,0,0,5,6,9,9,9,9,9,0,0,9,2,29,291,99,99,1,271726,795545
2021013450,1,1,4,0,,,,,805,0,146,,12,2022,2,77,4,5,6,3,4,3,0,4,3,2,1,4,2,2,9,9,9,0,0,9,2,24,241,99,99,1,230240,751540
2021014110,1,1,4,0,,,,,35,0,214,,38,2022,1,73,4,5,5,3,2,0,3,5,1,3,4,3,1,1,9,9,9,0,0,9,6,61,612,99,99,1,181509,612176
2021031094,1,1,1,7600,105,205,,7970001,,,,,12,2022,1,80,4,5,2,3,2,3,0,1,1,4,3,3,1,1,9,9,9,0,0,9,2,24,246,0,15,1,207635,758840
2021078056,1,1,2,5000,2785,,9999,,,,,,20,2022,1,75,4,5,1,3,4,1,0,1,1,1,3,3,1,1,9,9,9,0,0,9,5,51,511,0,13,3,180376,661998
2022000012,1,1,1,6100,502,830,,8450025,,,,,20,2022,1,72,4,5,4,3,4,3,0,1,1,2,3,6,1,1,9,9,9,0,0,9,5,51,512,0,13,1,184717,665875
2022000020,1,1,2,6800,,,9999,,,,,,12,2022,7,68,4,1,6,3,4,3,0,1,3,1,1,1,1,1,9,9,9,0,0,9,3,31,311,0,15,2,210474,745511
2022000021,1,1,2,5000,2231,,11,,,,,,20,2022,9,69,4,1,6,3,1,1,0,1,1,0,3,1,1,1,9,9,6,0,0,9,5,51,511,0,13,1,178785,662599
2022000022,1,1,1,7400,624,616,,10590132,,,,,51,2022,3,36,2,1,4,3,2,1,0,1,1,1,3,1,1,1,9,9,9,0,0,9,4,41,411,0,13,1,187181,691824
2022000036,1,1,2,7400,405,,8,,,,,,51,2022,7,67,4,1,1,3,2,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,4,41,411,0,13,1,186206,693159
2022000037,1,1,3,0,,,,,40,443,2765,745,52,2022,1,75,4,5,1,3,3,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,4,43,432,99,99,1,191319,651545
2022000038,1,1,2,638,143,,9999,,,,,,51,2022,10,66,4,1,5,3,1,3,0,1,1,2,1,1,1,1,9,9,9,3,3,1,4,41,412,0,26,3,198274,687734
2022000048,1,1,1,6100,304,503,,7930014,,,,,20,2022,7,72,4,1,1,3,1,3,0,1,1,2,3,1,1,1,9,9,9,3,4,9,5,51,512,0,13,1,184423,666612
2022000059,1,1,2,8800,,,9999,,,,,,12,2022,7,57,4,1,1,3,5,3,0,1,0,2,1,1,1,1,9,9,9,0,0,9,2,24,241,0,26,2,216408,745736
2022000073,1,1,1,2400,202,275,,8140128,,,,,20,2022,10,58,4,1,7,3,5,3,0,1,1,5,3,1,1,1,9,9,9,0,0,9,5,51,512,0,16,1,186979,658598
2022000078,1,1,1,7900,928,905,,11890117,,,,,51,2022,2,57,4,1,1,3,11,0,2,1,1,3,3,1,1,1,8,4,9,0,0,9,4,42,422,0,13,1,187802,666479
2022000081,1,1,4,0,,,,,44,0,343,,52,2022,12,73,4,5,1,3,2,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,4,44,442,99,99,1,183103,656753
2022000087,1,1,1,1061,151,159,,7850009,,,,,14,2022,5,75,4,1,6,3,2,0,3,2,1,3,3,1,1,1,9,9,9,0,0,9,2,23,237,0,16,1,229813,733820
2022000089,1,1,2,3000,4245,,9999,,,,,,61,2022,5,69,2,1,4,2,12,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,1,11,111,0,12,3,223655,631440
2022000090,1,1,2,7900,111,,11,,,,,,51,2022,2,16,4,5,3,3,1,1,0,1,1,2,3,3,2,2,9,9,9,3,2,1,4,42,422,0,13,1,190420,667955
2022000096,1,1,1,9000,101,103,,150021,,,,,34,2022,2,92,4,5,2,3,2,0,3,3,1,3,3,3,1,1,2,2,9,0,0,9,6,62,623,0,13,1,182702,573212
2022000107,1,1,1,9000,359,1376,,15440052,,,,,34,2022,7,63,4,1,5,3,1,3,0,1,1,2,3,1,1,1,9,9,9,3,3,2,6,62,623,0,13,1,177327,572247
2022000129,1,1,1,5000,1269,2239,,190624,,,,,20,2022,7,13,4,5,1,3,2,1,0,1,1,4,3,3,1,1,9,9,9,0,0,9,5,51,511,0,13,1,179442,663299
2022000136,1,1,2,4000,1082,,9999,,,,,,11,2022,11,59,4,1,1,3,10,0,5,1,1,3,3,1,1,1,9,9,9,0,0,9,3,31,311,0,13,3,196200,743881
2022000149,1,1,3,0,,,,,554,5503,34,2141,51,2022,11,88,4,5,6,3,2,0,3,1,1,0,3,3,1,1,9,9,9,0,0,9,4,42,421,99,99,1,192251,678461
2022000152,1,1,1,7100,1035,1018,,8780021,,,,,38,2022,12,23,4,5,4,3,2,0,3,1,1,3,3,6,1,1,9,9,9,0,0,9,6,61,614,0,14,1,160709,620286
2022000168,1,1,1,6400,547,421,,8510004,,,,,20,2022,2,53,4,1,7,3,2,1,0,1,1,3,3,1,1,1,9,9,9,0,0,9,5,51,511,0,14,1,184848,674337
2022000172,1,1,2,5000,2253,,68,,,,,,20,2022,2,4,4,5,5,2,2,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,5,51,511,0,13,1,179365,662721
2022000176,1,1,2,7100,416,,5,,,,,,38,2022,2,61,4,1,3,3,1,0,4,1,1,3,3,1,1,1,9,9,9,3,3,1,6,61,614,0,14,1,158795,619497
2022000180,1,1,4,0,,,,,22,0,140,,12,2022,6,55,4,1,4,2,3,9,0,0,0,0,5,11,9,9,9,9,9,0,0,9,3,31,311,99,99,1,209994,751853
2022000199,1,1,2,0,,,9999,,,,,,14,2022,2,61,4,1,1,2,10,3,0,1,3,5,3,1,1,4,9,9,9,0,0,9,9,99,999,999,,9,,
2022000204,1,1,4,0,,,,,65,0,587,,14,2022,7,65,4,1,5,3,4,2,0,4,1,3,3,1,1,1,9,9,9,0,0,9,2,22,222,99,99,1,238697,731509
2022000205,1,1,4,0,,,,,3866,0,19,,61,2022,12,77,4,5,1,3,5,2,0,2,1,4,3,5,2,2,9,9,9,0,0,9,1,11,112,99,99,1,201539,628539
2022000211,1,2,4,0,,,,,611,0,60,,41,2022,3,68,1,1,5,3,2,2,0,4,1,3,3,1,1,1,9,9,9,0,0,9,3,32,323,99,99,1,206749,707178
2022000212,1,2,4,0,,,,,367,0,160,,43,2022,8,60,4,1,6,2,2,2,0,2,1,4,3,1,1,1,9,9,9,0,0,9,7,77,777,99,99,1,212203,617444
2022000214,1,1,2,8300,960,,3,,,,,,52,2022,1,25,4,5,1,3,5,3,0,1,1,2,3,6,1,1,9,9,9,0,0,9,4,44,442,0,13,1,178416,654981
2022000220,1,1,1,7900,327,715,,9030032,,,,,51,2022,3,57,4,1,1,3,1,0,3,1,1,5,3,1,1,1,9,9,9,3,3,1,4,42,422,0,13,1,189662,665435
2022000232,1,2,4,0,,,,,60,0,1262,,41,2022,9,56,4,1,2,3,2,2,0,4,1,3,3,1,1,1,9,9,9,0,0,9,7,77,777,99,99,1,225135,663385
2022000238,1,1,3,0,,,,,444,0,185,12295,51,2022,6,64,4,1,3,3,3,3,0,1,1,2,3,1,1,1,9,9,9,0,0,9,4,42,422,99,99,1,195540,665618
2022000248,1,1,3,0,,,,,781,0,12,10276,12,2022,2,72,4,5,4,3,2,1,0,1,1,2,3,3,2,2,9,9,9,0,0,9,3,31,311,99,99,1,207657,746935
2022000293,1,1,3,0,,,,,4,5,1228,323,20,2022,2,69,4,1,4,3,2,1,0,1,1,1,3,1,1,1,9,9,9,0,0,9,5,51,511,99,99,1,186556,670189
2022000318,1,1,2,3000,1753,,9999,,,,,,61,2022,11,80,4,5,3,3,2,3,0,1,1,2,3,6,1,1,9,9,9,0,0,9,1,11,111,0,12,3,221299,630397
2022000321,1,1,1,638,,,,,,,,,51,2022,7,44,4,1,1,3,2,1,0,1,1,1,3,1,1,1,9,9,9,0,0,9,4,41,412,0,26,2,198032,688339
2022000350,1,1,1,7400,310,434,,170031,,,,,51,2022,5,32,4,1,6,3,1,3,0,1,0,2,1,1,1,1,9,9,9,3,3,9,4,41,411,0,13,1,186846,692882
2022000355,1,1,3,0,,,,,4,85,2305,4050,12,2022,10,82,4,5,7,3,4,0,2,3,1,4,3,6,1,1,9,9,9,0,0,9,2,24,246,99,99,1,209402,758228
2022000363,1,1,4,0,,,,,375,0,154,,61,2022,3,29,4,1,5,3,2,0,3,3,1,1,3,1,9,1,9,9,9,0,0,9,1,11,111,99,99,1,208726,625532
2022000376,1,1,1,3000,4753,4797,,24650735,,,,,61,2022,11,81,4,5,2,3,2,9,0,0,0,0,5,6,9,9,9,9,9,0,0,9,1,11,111,0,12,1,222662,636603
2022000385,1,1,2,6200,310,,93,,,,,,20,2022,2,71,4,5,2,2,15,1,0,1,1,1,3,6,1,1,9,9,9,0,0,9,5,51,513,0,14,1,176863,658112
2022000397,1,1,2,4000,101,,4,,,,,,12,2022,5,36,4,1,2,3,5,3,0,1,1,3,4,1,1,1,9,9,9,0,0,9,3,31,311,0,13,1,206265,748089
2022000407,1,2,4,0,,,,,458,0,154,,43,2022,12,70,4,5,3,2,5,2,0,4,0,3,3,6,1,1,9,9,9,0,0,9,7,77,777,99,99,1,230217,645066
2022000414,1,1,2,9600,184,,15,,,,,,12,2022,11,34,4,1,2,3,1,0,3,1,1,3,3,1,1,1,9,9,9,3,3,2,3,31,311,0,16,1,206660,749770
2022000416,1,1,1,6200,521,523,,8070061,,,,,20,2022,11,44,4,1,2,3,1,1,0,1,1,1,3,1,1,1,9,9,9,3,3,1,5,51,513,0,14,1,176791,657613
2022000426,1,1,2,4000,986,,5,,,,,,11,2022,6,85,4,5,5,3,1,3,0,1,1,2,3,3,1,1,9,9,9,0,0,9,3,31,311,0,13,1,196258,747194
2022000429,1,1,3,0,,,,,65,77,705,1147,12,2022,2,65,4,1,2,2,1,1,0,4,1,3,3,1,1,1,9,9,9,3,4,1,2,22,222,99,99,1,238461,742123
2022000438,1,1,2,8700,465,,9999,,,,,,51,2022,8,16,4,5,7,3,8,0,2,1,1,2,3,3,1,1,8,2,9,0,0,9,4,42,421,0,15,3,185617,677294
2022000440,1,1,2,3000,339,,10,,,,,,61,2022,9,66,2,1,1,2,1,1,0,1,1,2,3,1,1,1,9,9,9,1,2,1,1,11,111,0,12,1,219866,633029
2022000449,1,1,2,6600,983,,51,,,,,,20,2022,9,37,4,1,1,3,5,3,0,1,1,1,3,1,1,1,9,9,9,0,0,9,5,51,513,0,14,1,179593,656966
2022000452,1,1,3,0,,,,,4,5,1228,323,51,2022,1,57,4,1,4,3,2,1,0,1,1,3,4,1,1,1,9,9,9,0,0,9,5,51,511,99,99,1,186556,670189
