OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
-1,52,544,ראשון לציון,מגורים,9948,852978,מגורים,8300,1,0,14,49,27,14,36,12,63,81,18,0,6,36,67,60.962913199598667,202407,3765.786446115574563,852977.610006050905213
-1,10,2172,טבריה,מגורים,6378,1475818,מגורים,6700,1,0,1,19,1,4,16,0,20,21,1,0,2,10,13,6.775905454873876,202407,6981.506525870123369,1475817.522336745169014
-1,17,1186,ירושלים,מגורים,12277,346241,מגורים,3000,1,0,3,20,10,8,12,3,23,26,2,0,0,15,21,49.098724533146836,202407,3958.161078102537886,346241.173505906423088
-1,9,137,הרצלייה,מגורים,5341,499512,מגורים,6400,1,1,1,8,5,0,7,2,10,15,2,0,1,8,11,18.017586701303543,202407,3065.801740193299338,499511.957356023951434
-1,45,1828,קריית אתא,שטח פתוח,0,508601,פנאי/טבע/ספורט,6800,3,0,11,109,0,16,93,11,120,99,2,3,0,69,81,88.477956653140993,202407,3692.333819411061995,508601.257332523295190
-1,19,779,אשדוד,מגורים,4250,339317,מגורים,70,1,0,3,27,5,5,23,2,30,33,1,2,1,20,30,55.994821290175835,202407,2799.189187305653832,339317.093299367406871
-1,0,2407,באר שבע,שטח פתוח,0,681282,פנאי/טבע/ספורט,9000,3,,,,,,,,,,,,,,,0.000000000000000,202407,4962.864573741636377,681282.354987715836614
-1,21,1421,טל שחר נחשון בקוע נווה שלום,מגורים,2992,28874994,מגורים,0,1,1,9,55,0,11,49,3,65,46,2,3,0,28,38,0.727272884168601,202407,34926.830927231058013,28874993.770744860172272
-1,68,1039,תל אביב -יפו,מגורים,1737,230938,מגורים,5000,1,1,15,67,7,4,66,12,83,141,29,1,2,57,105,294.451116256044884,202407,1966.358977057086804,230938.163402544101700
-1,31,246,בני ברק,מגורים,19257,435224,מגורים,6100,1,0,8,26,25,16,11,5,34,41,6,0,5,14,35,71.227744744539095,202407,2970.819370144575714,435223.663351726660039
-1,6,1665,דאהרייה,לא ידוע,0,58946757,עתידי/לא ידוע,0,5,0,0,14,0,2,12,0,14,11,0,0,0,7,9,0.101786770900879,202407,40071.507402210219880,58946756.507707998156548
