"TABLE 9. POPULATION, MOTOR VEHICLES,  LICENCED",,,,,"לוח 9. אוכלוסייה, כלי רכב מנועיים, ",
"                 TO DRIVE AND ANNUAL KILOMETERS TRAVELLED,",,,,,"         מורשים לנהוג ונסועה שנתית,",
                 BY CITIES,,,,,         לפי ערים,
,,2020,,,,
,נסועה שנתית של כלי רכב ,מורשים לנהוג(3) -,כלי רכב בבעלות פרטית ,אוכלוסייה ,,
,בבעלות פרטית ,שיעור ,הרשומים בערים(1)(2) -,ממוצעת,,
,הרשומים בערים - ממוצע לרכב ," ל-1,000","שיעור ל-1,000",(אלפים),,
,"אלפי ק""מ",תושבים,תושבים,,,
City,,,,,עיר,
,Annual kilometers travelled of ,,Privately owned,,,
,privately owned vehicles,Licenced to ,vehicles registered,,,
, registered in the cities,drive(3) - ,in the cities(1)(2) -,Average ,,
,  - average per vehicle,"rate per 1,000 ","rate per 1,000 ",population,,
, thousand km,residents,residents,(thousands),,
Total, 12.4 , 489.8 , 338.8 ," 6,815.0 ",סך הכל,
Umm Al-Fahm, 14.8 , 473.3 , 402.0 , 56.4 ,אום אל-פחם,
Ofaqim, 14.6 , 404.6 , 277.0 , 31.6 ,אופקים,
Or Yehuda, 12.1 , 512.3 , 370.8 , 36.8 ,אור יהודה,
Or Aqiva, 13.4 , 526.6 , 378.0 , 19.2 ,אור עקיבא,
Elat, 12.1 , 592.3 , 402.5 , 52.4 ,אילת,
Elad, 13.9 , 232.7 , 146.0 , 49.0 ,אלעד,
Ari'el, 14.4 , 509.7 , 319.9 , 20.1 ,אריאל,
Ashdod, 12.9 , 444.9 , 276.9 , 226.0 ,אשדוד,
Ashqelon, 13.1 , 506.7 , 349.7 , 145.3 ,אשקלון,
Baqa Al-Gharbiyya, 15.4 , 515.8 , 437.4 , 30.2 ,באקה אל-גרביה,
Be'er Sheva, 13.6 , 522.0 , 364.0 , 210.1 ,באר שבע,
Bet She'an, 13.6 , 533.7 , 369.0 , 18.6 ,בית שאן,
Bet Shemesh, 14.8 , 252.1 , 156.5 , 128.8 ,בית שמש,
Betar Illit, 15.2 , 149.9 , 94.0 , 60.2 ,ביתר עילית,
Bene Beraq, 11.8 , 173.1 , 103.5 , 206.7 ,בני ברק,
Bat Yam, 11.6 , 470.6 , 313.7 , 128.4 ,בת ים,
Giv'at Shemuel, 10.7 , 566.3 , 373.0 , 26.9 ,גבעת שמואל,
Giv'atayim, 9.6 , 600.1 , 375.5 , 60.9 ,גבעתיים,
Dimona, 15.3 , 539.6 , 378.8 , 34.9 ,דימונה,
Hod HaSharon, 11.5 , 633.8 , 443.6 , 63.8 ,הוד השרון,
Herzliyya, 10.9 , 646.1 , 460.7 , 98.2 ,הרצלייה,
Hadera, 12.6 , 533.8 , 384.3 , 98.1 ,חדרה,
Holon, 11.1 , 538.3 , 366.7 , 196.8 ,חולון,
Haifa, 11.7 , 525.9 , 348.0 , 284.5 ,חיפה,
Tiberias, 13.4 , 476.5 , 336.7 , 45.3 ,טבריה,
Tayibe, 15.5 , 489.0 , 428.3 , 44.3 ,טייבה,
Tire, 14.6 , 542.7 , 480.1 , 26.8 ,טירה,
Tirat Karmel, 12.8 , 518.5 , 387.7 , 23.7 ,טירת כרמל,
Tamra, 14.3 , 528.7 , 440.4 , 34.6 ,טמרה,
Yavne, 12.8 , 566.3 , 400.2 , 48.7 ,יבנה,
Yehud, 11.4 , 636.8 , 448.3 , 30.0 ,יהוד,
Yoqne'am Illit, 13.4 , 591.1 , 375.4 , 23.9 ,יקנעם עילית,
Jerusalem, 12.6 , 367.9 , 275.1 , 943.8 ,ירושלים,
Kefar Yona, 12.7 , 572.3 , 417.6 , 25.5 ,כפר יונה,
Kefar Sava, 11.2 , 616.8 , 408.1 , 101.6 ,כפר סבא,
Kafar Qasem, 17.0 , 500.5 , 450.6 , 24.0 ,כפר קאסם,
Karmi'el, 12.8 , 548.4 , 351.6 , 46.2 ,כרמיאל,
Lod, 14.0 , 430.6 , 318.5 , 79.1 ,לוד,
Migdal HaEmeq, 13.2 , 476.9 , 332.2 , 25.7 ,מגדל העמק,
"TABLE 9. POPULATION, MOTOR VEHICLES,  LICENCED",,,,,"לוח 9. אוכלוסייה, כלי רכב מנועיים, ",
"               TO DRIVE AND ANNUAL KILOMETERS TRAVELLED,",,,,,"         מורשים לנהוג ונסועה שנתית,",
               BY CITIES  (Cont.),,,,,         לפי ערים (המשך),
,,2020,,,,
,נסועה שנתית של כלי רכב ,מורשים לנהוג(3) -,כלי רכב הרשומים ,אוכלוסייה ,,
,בבעלות פרטית ,שיעור,בערים(1)(2) -,ממוצעת,,
,הרשומים בערים - ממוצע לרכב ," ל-1,000","שיעור ל-1,000",(אלפים),,
,"אלפי ק""מ",תושבים,תושבים,,,
City,,,,,עיר,
